Parameter/Date,30 November 2024,29 November 2024,28 November 2024,27 November 2024,26 November 2024,25 November 2024,24 November 2024,23 November 2024,22 November 2024,21 November 2024,20 November 2024,19 November 2024,18 November 2024,17 November 2024,16 November 2024,15 November 2024,14 November 2024,13 November 2024,12 November 2024,11 November 2024,10 November 2024,9 November 2024,8 November 2024,7 November 2024,6 November 2024,5 November 2024,4 November 2024,3 November 2024,2 November 2024,1 November 2024,Total
Sales,359.82,419.79,565.72,307.86,527.76,461.79,461.79,395.82,637.71,197.91,285.87,373.83,263.88,329.85,395.82,241.89,307.86,197.91,329.85,439.8,373.83,197.91,219.9,417.81,263.88,197.91,263.88,307.86,175.92,263.88,10185.31
    Organic,139.93,239.88,159.92,177.92,307.86,131.94,197.91,153.93,307.86,153.93,109.95,175.92,153.93,197.91,219.9,175.92,109.95,153.93,175.92,87.96,197.91,153.93,87.96,109.95,219.9,0,65.97,131.94,21.99,153.93,4631.87
    Sponsored Products (same day),219.89,179.91,405.8,129.94,219.9,329.85,263.88,241.89,329.85,43.98,175.92,197.91,109.95,131.94,175.92,65.97,197.91,43.98,153.93,351.84,175.92,43.98,131.94,307.86,43.98,197.91,197.91,175.92,153.93,109.95,5553.44
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,359.82,419.79,565.72,307.86,527.76,461.79,461.79,395.82,637.71,197.91,285.87,373.83,263.88,329.85,395.82,241.89,307.86,197.91,329.85,439.8,373.83,197.91,219.9,417.81,263.88,197.91,263.88,307.86,175.92,263.88,10185.31
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,18,21,28,14,24,21,21,18,29,9,13,17,12,15,18,11,14,9,15,20,17,10,10,19,12,9,12,14,8,12,470
    Organic,7,12,8,8,14,6,9,7,14,7,5,8,7,9,10,8,5,7,8,4,9,8,4,5,10,0,3,6,1,7,214
    Sponsored Products (same day),11,9,20,6,10,15,12,11,15,2,8,9,5,6,8,3,9,2,7,16,8,2,6,14,2,9,9,8,7,5,256
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,18,21,28,14,24,21,21,18,29,9,13,17,12,15,18,11,14,9,15,20,17,10,10,19,12,9,12,14,8,12,470
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,7
Promo,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,-30.8,0,0,0,-48.4,0,0,0,0,0,0,-167.2
Advertising cost,-190.46,-193.5,-179.88,-175.06,-168.32,-173.82,-217.01,-165.47,-232.98,-145.85,-106.78,-108.67,-102.33,-142.64,-111.88,-107.5,-107.48,-88.03,-85.09,-166.53,-106.32,-97.07,-69.89,-132.75,-57.67,-70.69,-77.92,-132.7,-78.66,-42.31,-3835.26
    Sponsored Products,-190.46,-193.5,-179.88,-175.06,-168.32,-173.82,-217.01,-165.47,-232.98,-145.85,-106.78,-108.67,-102.33,-142.64,-111.88,-107.5,-107.48,-88.03,-85.09,-166.53,-106.32,-97.07,-69.89,-132.75,-57.67,-70.69,-77.92,-132.7,-78.66,-42.31,-3835.26
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,-19.35,9,0,0,-19.35,-19.35,0,0,0,0,0,0,0,0,-19.35,0,0,0,4.5,0,0,-58.05,0,0,-121.95
    Refunded referral fee,0,0,0,0,0,0,3.3,0,0,0,3.3,3.3,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,9.9,0,0,23.1
    Value of returned items,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,13.5
    Refund commission,0,0,0,0,0,0,-0.66,0,0,0,-0.66,-0.66,0,0,0,0,0,0,0,0,-0.66,0,0,0,0,0,0,-1.98,0,0,-4.62
