Parameter/Date,31 May 2023,30 May 2023,29 May 2023,28 May 2023,27 May 2023,26 May 2023,25 May 2023,24 May 2023,23 May 2023,22 May 2023,21 May 2023,20 May 2023,19 May 2023,18 May 2023,17 May 2023,16 May 2023,15 May 2023,14 May 2023,13 May 2023,12 May 2023,11 May 2023,10 May 2023,9 May 2023,8 May 2023,7 May 2023,6 May 2023,5 May 2023,4 May 2023,3 May 2023,2 May 2023,1 May 2023,Total
Sales,439.8,395.82,307.86,241.89,197.91,351.84,307.86,153.93,280.16,263.88,351.84,263.88,351.84,153.93,505.77,241.89,329.85,351.84,571.74,241.89,373.83,263.88,373.83,280.34,373.83,197.91,131.94,197.91,307.86,329.85,65.97,9202.57
    Organic,351.84,285.87,219.9,175.92,131.94,219.9,197.91,153.93,258.17,153.93,219.9,175.92,241.89,65.97,263.88,175.92,131.94,153.93,373.83,131.94,307.86,219.9,219.9,148.4,263.88,153.93,87.96,175.92,219.9,241.89,0,6123.97
    Sponsored Products (same day),87.96,109.95,87.96,65.97,65.97,131.94,109.95,0,21.99,109.95,131.94,87.96,109.95,87.96,241.89,65.97,197.91,197.91,197.91,109.95,65.97,43.98,153.93,131.94,109.95,43.98,43.98,21.99,87.96,87.96,65.97,3078.6
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,439.8,395.82,307.86,241.89,197.91,351.84,307.86,153.93,280.16,263.88,351.84,263.88,351.84,153.93,505.77,241.89,329.85,351.84,571.74,241.89,373.83,263.88,373.83,280.34,373.83,197.91,131.94,197.91,307.86,329.85,65.97,9202.57
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,20,18,14,11,9,16,14,7,13,12,16,12,16,7,23,11,15,16,26,11,17,12,17,13,17,9,6,9,14,15,3,419
    Organic,16,13,10,8,6,10,9,7,12,7,10,8,11,3,12,8,6,7,17,6,14,10,10,7,12,7,4,8,10,11,0,279
    Sponsored Products (same day),4,5,4,3,3,6,5,0,1,5,6,4,5,4,11,3,9,9,9,5,3,2,7,6,5,2,2,1,4,4,3,140
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,20,18,14,11,9,16,14,7,13,12,16,12,16,7,23,11,15,16,26,11,17,12,17,13,17,9,6,9,14,15,3,419
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-21.9,-25.6,-37.72,-18.7,-17.31,-20.65,-15.88,-10.09,-18.24,-26.9,-26.34,-24.08,-21.64,-20.47,-36.89,-35.33,-40.49,-47.19,-48.2,-31.45,-36.48,-30.12,-23.03,-21.32,-30.15,-20.75,-22.03,-15.82,-16.17,-26.45,-23.46,-810.85
    Sponsored Products,-21.9,-25.6,-37.72,-18.7,-17.31,-20.65,-15.88,-10.09,-18.24,-26.9,-26.34,-24.08,-21.64,-20.47,-36.89,-35.33,-40.49,-47.19,-48.2,-31.45,-36.48,-30.12,-23.03,-21.32,-30.15,-20.75,-22.03,-15.82,-16.17,-26.45,-23.46,-810.85
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-19.35,0,-19.35,0,-19.35,0,4.5,0,0,0,0,0,0,0,-14.85,0,0,0,0,0,0,-14.85,0,0,0,-19.35,0,0,0,-102.6
    Refunded referral fee,0,0,3.3,0,3.3,0,3.3,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,3.3,0,0,0,3.3,0,0,0,19.8
    Value of returned items,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,13.5
    Refund commission,0,0,-0.66,0,-0.66,0,-0.66,0,0,0,0,0,0,0,0,0,-0.66,0,0,0,0,0,0,-0.66,0,0,0,-0.66,0,0,0,-3.96
    Refunded amount,0,0,-21.99,0,-21.99,0,-21.99,0,0,0,0,0,0,0,0,0,-21.99,0,0,0,0,0,0,-21.99,0,0,0,-21.99,0,0,0,-131.94
Amazon fees,-182.76,-145.78,-134.24,-95.7,-78.3,-139.2,-121.8,-60.9,-115.39,-104.4,-139.2,-104.4,-139.2,-60.9,-200.1,-95.7,-143.48,-128.36,-226.2,-82.41,-147.9,-104.4,-147.9,-115.58,-223.22,-78.3,-56.58,-78.3,-111,-130.5,-38.54,-3730.64
    FBA per unit fulfilment fee,-108,-97.2,-75.6,-59.4,-48.6,-86.4,-75.6,-37.8,-73.36,-64.8,-86.4,-64.8,-86.4,-37.8,-124.2,-59.4,-81,-86.4,-140.4,-59.4,-91.8,-64.8,-91.8,-73.51,-91.8,-48.6,-32.4,-48.6,-75.6,-81,-16.2,-2269.07
    Referral fee,-66,-59.4,-46.2,-36.3,-29.7,-52.8,-46.2,-23.1,-42.03,-39.6,-52.8,-39.6,-52.8,-23.1,-75.9,-36.3,-49.5,-52.8,-85.8,-36.3,-56.1,-39.6,-56.1,-42.07,-56.1,-29.7,-19.8,-29.7,-46.2,-49.5,-9.9,-1381
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.32,0,0,0,0,0,0,-75.32
    Compensated clawback,0,0,-12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.44,-37.86
    FBA disposal fee,-8.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.38,0,0,0,0,-13.14
    Warehouse lost manual,0,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,13.29
    Warehouse damage exception,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0,10.8,0,0,21.64
Cost of goods,-90,-85.5,-58.5,-49.5,-40.5,-72,-63,-31.5,-58.5,-54,-72,-54,-72,-31.5,-103.5,-49.5,-63,-76.5,-117,-49.5,-76.5,-54,-76.5,-58.5,-76.5,-40.5,-27,-40.5,-67.5,-67.5,-9,-1885.5
    Cost of goods sold,-90,-81,-63,-49.5,-40.5,-72,-63,-31.5,-58.5,-54,-72,-54,-72,-31.5,-103.5,-49.5,-67.5,-72,-117,-49.5,-76.5,-54,-76.5,-58.5,-76.5,-40.5,-27,-40.5,-63,-67.5,-13.5,-1885.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,-4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,-4.5,0,0,0,0,0,0,0,0,0,0,-4.5,0,4.5,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,145.14,138.94,58.05,77.99,42.45,119.99,87.83,51.44,92.53,78.58,114.3,81.4,119,41.06,165.28,61.36,68.03,99.79,180.34,78.53,112.95,75.36,126.4,70.09,43.96,58.36,26.33,43.94,113.19,105.4,-5.03,2672.98
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,145.14,138.94,58.05,77.99,42.45,119.99,87.83,51.44,92.53,78.58,114.3,81.4,119,41.06,165.28,61.36,68.03,99.79,180.34,78.53,112.95,75.36,126.4,70.09,43.96,58.36,26.33,43.94,113.19,105.4,-5.03,2672.98
Estimated payout,235.14,224.44,116.55,127.49,82.95,191.99,150.83,82.94,146.53,132.58,186.3,135.4,191,72.56,268.78,110.86,126.53,176.29,297.34,128.03,189.45,129.36,202.9,124.09,120.46,98.86,53.33,84.44,180.69,172.9,3.97,4544.98
Real ACOS,4.98%,6.47%,12.25%,7.73%,8.75%,5.87%,5.16%,6.55%,6.51%,10.19%,7.49%,9.13%,6.15%,13.3%,7.29%,14.61%,12.28%,13.41%,8.43%,13%,9.76%,11.41%,6.16%,7.61%,8.07%,10.48%,16.7%,7.99%,5.25%,8.02%,35.56%,8.81%
% Refunds,0%,0%,7.14%,0%,11.11%,0%,7.14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.67%,0%,0%,0%,0%,0%,0%,7.69%,0%,0%,0%,11.11%,0%,0%,0%,1.43%
Sellable returns,,,,,,,,,100%,,,,,,,,33.33%,,,,,,,100%,0%,,,0%,0%,,,37.5%
Margin,33%,35.1%,18.86%,32.24%,21.45%,34.1%,28.53%,33.42%,33.03%,29.78%,32.49%,30.85%,33.82%,26.67%,32.68%,25.37%,20.62%,28.36%,31.54%,32.47%,30.21%,28.56%,33.81%,25%,11.76%,29.49%,19.96%,22.2%,36.77%,31.95%,-7.62%,29.05%
ROI,161.27%,162.5%,99.23%,157.56%,104.81%,166.65%,139.41%,163.3%,158.17%,145.52%,158.75%,150.74%,165.28%,130.35%,159.69%,123.96%,107.98%,130.44%,154.14%,158.65%,147.65%,139.56%,165.23%,119.81%,57.46%,144.1%,97.52%,108.49%,167.69%,156.15%,-55.89%,141.77%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3684
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.37%
