Parameter/Date,31 August 2025,30 August 2025,29 August 2025,28 August 2025,27 August 2025,26 August 2025,25 August 2025,24 August 2025,23 August 2025,22 August 2025,21 August 2025,20 August 2025,19 August 2025,18 August 2025,17 August 2025,16 August 2025,15 August 2025,14 August 2025,13 August 2025,12 August 2025,11 August 2025,10 August 2025,9 August 2025,8 August 2025,7 August 2025,6 August 2025,5 August 2025,4 August 2025,3 August 2025,2 August 2025,1 August 2025,Total
Sales,275.88,229.9,321.86,160.93,413.82,298.87,275.88,436.81,252.89,321.86,344.85,321.86,367.84,344.85,275.88,252.89,160.93,321.86,206.91,298.87,321.86,367.84,229.9,298.87,298.87,298.87,137.94,252.89,321.86,137.94,206.91,8759.19
    Organic,68.97,0,114.95,91.96,137.94,114.95,91.96,160.93,45.98,137.94,91.96,114.95,183.92,206.91,137.94,114.95,68.97,68.97,22.99,206.91,68.97,160.93,45.98,91.96,160.93,91.96,114.95,137.94,91.96,91.96,91.96,3333.55
    Sponsored Products (same day),206.91,229.9,206.91,68.97,275.88,183.92,183.92,275.88,206.91,183.92,252.89,206.91,183.92,137.94,137.94,137.94,91.96,252.89,183.92,91.96,252.89,206.91,183.92,206.91,137.94,206.91,22.99,114.95,229.9,45.98,114.95,5425.64
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,275.88,229.9,321.86,160.93,413.82,298.87,275.88,436.81,252.89,321.86,344.85,321.86,367.84,344.85,275.88,252.89,160.93,321.86,206.91,298.87,321.86,367.84,229.9,298.87,298.87,298.87,137.94,252.89,321.86,137.94,206.91,8759.19
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,12,10,14,7,18,13,12,19,11,14,15,14,16,15,12,11,7,14,9,13,14,16,10,13,13,13,6,11,14,6,9,381
    Organic,3,0,5,4,6,5,4,7,2,6,4,5,8,9,6,5,3,3,1,9,3,7,2,4,7,4,5,6,4,4,4,145
    Sponsored Products (same day),9,10,9,3,12,8,8,12,9,8,11,9,8,6,6,6,4,11,8,4,11,9,8,9,6,9,1,5,10,2,5,236
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,12,10,14,7,18,13,12,19,11,14,15,14,16,15,12,11,7,14,9,13,14,16,10,13,13,13,6,11,14,6,9,381
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,9
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
