Parameter/Date,28 February 2023,27 February 2023,26 February 2023,25 February 2023,24 February 2023,23 February 2023,22 February 2023,21 February 2023,20 February 2023,19 February 2023,18 February 2023,17 February 2023,16 February 2023,15 February 2023,14 February 2023,13 February 2023,12 February 2023,11 February 2023,10 February 2023,9 February 2023,8 February 2023,7 February 2023,6 February 2023,5 February 2023,4 February 2023,3 February 2023,2 February 2023,1 February 2023,Total
Sales,197.91,329.85,351.84,285.87,131.94,153.93,263.88,263.88,373.83,263.88,241.89,197.91,241.89,285.87,109.95,197.91,175.92,87.96,241.89,219.9,153.93,263.88,395.82,280.28,219.9,131.94,131.94,241.89,6437.48
    Organic,131.94,197.91,175.92,197.91,43.98,87.96,241.89,109.95,241.89,131.94,197.91,153.93,197.91,219.9,43.98,131.94,153.93,43.98,131.94,131.94,87.96,219.9,285.87,170.33,65.97,131.94,131.94,241.89,4304.45
    Sponsored Products (same day),65.97,131.94,175.92,87.96,87.96,65.97,21.99,153.93,131.94,131.94,43.98,43.98,43.98,65.97,65.97,65.97,21.99,43.98,109.95,87.96,65.97,43.98,109.95,109.95,153.93,0,0,0,2133.03
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,197.91,329.85,351.84,285.87,131.94,153.93,263.88,263.88,373.83,263.88,241.89,197.91,241.89,285.87,109.95,197.91,175.92,87.96,241.89,219.9,153.93,263.88,395.82,280.28,219.9,131.94,131.94,241.89,6437.48
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,9,15,16,13,6,7,12,12,17,12,11,10,11,13,5,9,8,4,11,10,7,12,18,13,10,6,6,12,295
    Organic,6,9,8,9,2,4,11,5,11,6,9,8,9,10,2,6,7,2,6,6,4,10,13,8,3,6,6,12,198
    Sponsored Products (same day),3,6,8,4,4,3,1,7,6,6,2,2,2,3,3,3,1,2,5,4,3,2,5,5,7,0,0,0,97
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,9,15,16,13,6,7,12,12,17,12,11,10,11,13,5,9,8,4,11,10,7,12,18,13,10,6,6,12,295
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-17.86,-15.3,-27.76,-24.63,-22.83,-26.87,-26.36,-22.28,-26.71,-26.69,-29.03,-25.64,-22.16,-15.68,-19.67,-25.27,-19.64,-31.09,-19.5,-23.97,-27.91,-16.72,-29.28,-40.25,-32.22,0,0,0,-615.32
    Sponsored Products,-17.86,-15.3,-27.76,-24.63,-22.83,-26.87,-26.36,-22.28,-26.71,-26.69,-29.03,-25.64,-22.16,-15.68,-19.67,-25.27,-19.64,-31.09,-19.5,-23.97,-27.91,-16.72,-29.28,-40.25,-32.22,0,0,0,-615.32
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-19.35,0,0,0,0,0,0,-19.35,-19.35,0,-19.35,0,4.5,0,0,0,0,-19.35,0,0,-19.35,-19.35,0,0,0,0,0,-130.95
    Refunded referral fee,0,3.3,0,0,0,0,0,0,3.3,3.3,0,3.3,0,0,0,0,0,0,3.3,0,0,3.3,3.3,0,0,0,0,0,23.1
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
    Refund commission,0,-0.66,0,0,0,0,0,0,-0.66,-0.66,0,-0.66,0,0,0,0,0,0,-0.66,0,0,-0.66,-0.66,0,0,0,0,0,-4.62
    Refunded amount,0,-21.99,0,0,0,0,0,0,-21.99,-21.99,0,-21.99,0,0,0,0,0,0,-21.99,0,0,-21.99,-21.99,0,0,0,0,0,-153.93
Amazon fees,-78.3,-130.5,-139.2,-113.1,-41.83,-60.9,-104.4,-104.4,-185.93,-104.4,-95.7,-78.3,-95.7,-113.1,-54.24,-78.3,-69.6,-34.8,-95.7,-87,-60.9,-110.05,-156.6,-102.21,-87,-52.2,-11.46,-95.7,-2541.52
    FBA per unit fulfilment fee,-48.6,-81,-86.4,-70.2,-32.4,-37.8,-64.8,-64.8,-91.8,-64.8,-59.4,-48.6,-59.4,-70.2,-27,-48.6,-43.2,-21.6,-59.4,-54,-37.8,-64.8,-97.2,-73.45,-54,-32.4,-32.4,-59.4,-1585.45
    Referral fee,-29.7,-49.5,-52.8,-42.9,-19.8,-23.1,-39.6,-39.6,-56.1,-39.6,-36.3,-29.7,-36.3,-42.9,-16.5,-29.7,-26.4,-13.2,-36.3,-33,-23.1,-39.6,-59.4,-42.05,-33,-19.8,-19.8,-36.3,-966.05
    Compensated clawback,0,0,0,0,0,0,0,0,-38.03,0,0,0,0,0,-10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.77
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.65,0,0,0,0,0,0,-5.65
    FBA disposal fee,0,0,0,0,-2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92
    Warehouse lost manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.45,0,27.45
    Reversal reimbursement,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,0,0,13.29,0,39.87
Cost of goods,-40.5,-67.5,-72,-58.5,-27,-31.5,-54,-54,-58.5,-54,-49.5,-45,-49.5,-58.5,-18,-40.5,-36,-18,-49.5,-45,-31.5,-54,-81,-58.5,-45,-27,-45,-54,-1323
    Cost of goods sold,-40.5,-67.5,-72,-58.5,-27,-31.5,-54,-54,-76.5,-54,-49.5,-45,-49.5,-58.5,-22.5,-40.5,-36,-18,-49.5,-45,-31.5,-54,-81,-58.5,-45,-27,-27,-54,-1327.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,-18,0,4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,61.25,97.2,112.88,89.64,40.28,34.66,79.12,83.2,83.34,59.44,67.66,29.62,74.53,103.09,18.04,53.84,50.68,4.07,57.84,63.93,33.62,63.76,109.59,79.32,55.68,52.74,75.48,92.19,1826.69
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,61.25,97.2,112.88,89.64,40.28,34.66,79.12,83.2,83.34,59.44,67.66,29.62,74.53,103.09,18.04,53.84,50.68,4.07,57.84,63.93,33.62,63.76,109.59,79.32,55.68,52.74,75.48,92.19,1826.69
Estimated payout,101.75,164.7,184.88,148.14,67.28,66.16,133.12,137.2,141.84,113.44,117.16,74.62,124.03,157.09,36.04,94.34,86.68,22.07,107.34,108.93,65.12,117.76,190.59,137.82,100.68,79.74,120.48,146.19,3145.19
Real ACOS,9.02%,4.64%,7.89%,8.62%,17.3%,17.46%,9.99%,8.44%,7.14%,10.11%,12%,12.96%,9.16%,5.49%,17.89%,12.77%,11.16%,35.35%,8.06%,10.9%,18.13%,6.34%,7.4%,14.36%,14.65%,0%,0%,0%,9.56%
% Refunds,0%,6.67%,0%,0%,0%,0%,0%,0%,5.88%,8.33%,0%,10%,0%,0%,0%,0%,0%,0%,9.09%,0%,0%,8.33%,5.56%,0%,0%,0%,0%,0%,2.37%
Sellable returns,,0%,,,,,,,,,0%,,,50%,,,,,,,,,,,,0%,,,20%
Margin,30.95%,29.47%,32.08%,31.36%,30.53%,22.52%,29.98%,31.53%,22.29%,22.53%,27.97%,14.97%,30.81%,36.06%,16.41%,27.2%,28.81%,4.63%,23.91%,29.07%,21.84%,24.16%,27.69%,28.3%,25.32%,39.97%,57.21%,38.11%,28.38%
ROI,151.23%,144%,156.78%,153.23%,149.19%,110.03%,146.52%,154.07%,142.46%,110.07%,136.69%,65.82%,150.57%,176.22%,100.22%,132.94%,140.78%,22.61%,116.85%,142.07%,106.73%,118.07%,135.3%,135.59%,123.73%,195.33%,167.73%,170.72%,138.07%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3058
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.65%
