Parameter/Date,28 February 2023,27 February 2023,26 February 2023,25 February 2023,24 February 2023,23 February 2023,22 February 2023,21 February 2023,20 February 2023,19 February 2023,18 February 2023,17 February 2023,16 February 2023,15 February 2023,14 February 2023,13 February 2023,12 February 2023,11 February 2023,10 February 2023,9 February 2023,8 February 2023,7 February 2023,6 February 2023,5 February 2023,4 February 2023,3 February 2023,2 February 2023,1 February 2023,Total
Sales,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,0,0,0,0,15.99,0,0,0,15.99,15.99,15.99,0,0,15.99,95.94
    Organic,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,0,0,0,0,15.99,0,0,0,15.99,15.99,15.99,0,0,15.99,95.94
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,0,0,0,0,15.99,0,0,0,15.99,15.99,15.99,0,0,15.99,95.94
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,6
    Organic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,6
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,6
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.23,0,0,0,-1.12,-3.82,-0.52,0,0,0,-8.69
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.23,0,0,0,-1.12,-3.82,-0.52,0,0,0,-8.69
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,-14.07,0,0,-11.34,0,0,0,0,-14.07,0,0,0,0,0,0,0,0,0,0,0,0,-39.48
    Refunded referral fee,0,0,0,0,0,0,0,2.4,0,0,2.4,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,7.2
    Value of returned items,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73
    Refund commission,0,0,0,0,0,0,0,-0.48,0,0,-0.48,0,0,0,0,-0.48,0,0,0,0,0,0,0,0,0,0,0,0,-1.44
    Refunded amount,0,0,0,0,0,0,0,-15.99,0,0,-15.99,0,0,0,0,-15.99,0,0,0,0,0,0,0,0,0,0,0,0,-47.97
Amazon fees,0,0,0,0,0,0,0,0,11.9,0,-6.64,0,0,0,0,0,0,0,-6.64,0,0,-9.77,-6.64,-6.64,5.41,0,-0.97,-6.64,-26.63
    FBA per unit fulfilment fee,0,0,0,0,0,0,0,0,0,0,-4.24,0,0,0,0,0,0,0,-4.24,0,0,0,-4.24,-4.24,-4.24,0,0,-4.24,-25.44
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.84,-11.63,0,0,0,-23.47
    Referral fee,0,0,0,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,0,-2.4,0,0,0,-2.4,-2.4,-2.4,0,0,-2.4,-14.4
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.77,0,0,0,0,0,0,-9.77
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.97,0,-0.97
    Reversal reimbursement,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84,23.68,0,0,0,35.52
Cost of goods,0,0,0,0,0,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,-2.73,0,0,0,-2.73,-2.73,-5.46,0,0,-2.73,-19.11
    Cost of goods sold,0,0,0,0,0,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,-2.73,0,0,0,-2.73,-2.73,-2.73,0,0,-2.73,-16.38
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73,0,0,0,-2.73
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
