Parameter/Date,31 March 2025,30 March 2025,29 March 2025,28 March 2025,27 March 2025,26 March 2025,25 March 2025,24 March 2025,23 March 2025,22 March 2025,21 March 2025,20 March 2025,19 March 2025,18 March 2025,17 March 2025,16 March 2025,15 March 2025,14 March 2025,13 March 2025,12 March 2025,11 March 2025,10 March 2025,9 March 2025,8 March 2025,7 March 2025,6 March 2025,5 March 2025,4 March 2025,3 March 2025,2 March 2025,1 March 2025,Total
Sales,152.91,118.93,169.9,67.96,152.91,101.94,135.92,203.88,101.94,118.93,152.91,135.92,152.91,101.94,152.91,237.86,169.9,152.91,135.92,135.92,135.92,50.97,152.91,118.93,169.9,101.94,101.94,186.89,101.94,84.95,101.94,4162.55
    Organic,152.91,118.93,169.9,67.96,152.91,101.94,135.92,203.88,101.94,118.93,152.91,135.92,152.91,101.94,152.91,237.86,169.9,152.91,135.92,135.92,135.92,50.97,152.91,118.93,169.9,101.94,101.94,186.89,101.94,84.95,101.94,4162.55
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,152.91,118.93,169.9,67.96,152.91,101.94,135.92,203.88,101.94,118.93,152.91,135.92,152.91,101.94,152.91,237.86,169.9,152.91,135.92,135.92,135.92,50.97,152.91,118.93,169.9,101.94,101.94,186.89,101.94,84.95,101.94,4162.55
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,9,7,10,4,9,6,8,12,6,7,9,8,9,6,9,14,10,9,8,8,8,3,9,7,10,6,6,11,6,5,6,245
    Organic,9,7,10,4,9,6,8,12,6,7,9,8,9,6,9,14,10,9,8,8,8,3,9,7,10,6,6,11,6,5,6,245
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,9,7,10,4,9,6,8,12,6,7,9,8,9,6,9,14,10,9,8,8,8,3,9,7,10,6,6,11,6,5,6,245
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
