Parameter/Date,30 June 2024,29 June 2024,28 June 2024,27 June 2024,26 June 2024,25 June 2024,24 June 2024,23 June 2024,22 June 2024,21 June 2024,20 June 2024,19 June 2024,18 June 2024,17 June 2024,16 June 2024,15 June 2024,14 June 2024,13 June 2024,12 June 2024,11 June 2024,10 June 2024,9 June 2024,8 June 2024,7 June 2024,6 June 2024,5 June 2024,4 June 2024,3 June 2024,2 June 2024,1 June 2024,Total
Sales,169.9,101.94,33.98,84.95,84.95,152.91,186.89,50.97,186.89,135.92,118.93,169.9,50.97,67.96,67.96,135.92,84.95,152.91,135.92,135.92,186.89,186.89,169.9,203.88,169.9,169.9,186.89,84.95,200.18,169.9,4039.92
    Organic,169.9,50.97,0,33.98,67.96,67.96,101.94,33.98,135.92,84.95,101.94,101.94,50.97,67.96,67.96,118.93,67.96,101.94,118.93,118.93,152.91,169.9,169.9,203.88,135.92,118.93,152.91,50.97,115.23,135.92,3071.49
    Sponsored Products (same day),0,50.97,33.98,50.97,16.99,84.95,84.95,16.99,50.97,50.97,16.99,67.96,0,0,0,16.99,16.99,50.97,16.99,16.99,33.98,16.99,0,0,33.98,50.97,33.98,33.98,84.95,33.98,968.43
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,169.9,101.94,33.98,84.95,84.95,152.91,186.89,50.97,186.89,135.92,118.93,169.9,50.97,67.96,67.96,135.92,84.95,152.91,135.92,135.92,186.89,186.89,169.9,203.88,169.9,169.9,186.89,84.95,200.18,169.9,4039.92
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,10,6,2,5,5,9,11,3,11,8,7,10,3,4,4,8,5,9,8,8,11,11,10,13,10,10,11,5,11,10,238
    Organic,10,3,0,2,4,4,6,2,8,5,6,6,3,4,4,7,4,6,7,7,9,10,10,13,8,7,9,3,6,8,181
    Sponsored Products (same day),0,3,2,3,1,5,5,1,3,3,1,4,0,0,0,1,1,3,1,1,2,1,0,0,2,3,2,2,5,2,57
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,10,6,2,5,5,9,11,3,11,8,7,10,3,4,4,8,5,9,8,8,11,11,10,13,10,10,11,5,11,10,238
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,-12.9,-27.93,-38.18,-22.59,-24.94,-22.37,-42.19,-43.84,-36.69,-56.33,-49.35,-35.74,-30.73,-23.17,-38.41,-19.75,-37.01,-23.44,-43.34,-42.78,-69.38,-69.66,-44.66,-56.54,-57.33,-44.71,-40.67,-67.49,-47.81,-1169.93
    Sponsored Products,0,-12.9,-27.93,-38.18,-22.59,-24.94,-22.37,-35.22,-17.85,-23.8,-40.38,-33.72,-26.27,-18.11,-6.85,-9.53,-7.17,-11.35,-3.81,-18.57,-18.88,-44.81,-50.4,-21.85,-39.7,-40.05,-23.49,-30.02,-46.2,-30.37,-747.31
    Sponsored Brands,0,0,0,0,0,0,0,-6.97,-25.99,-12.89,-15.95,-15.63,-9.47,-12.62,-16.32,-28.88,-12.58,-25.66,-19.63,-24.77,-23.9,-24.57,-19.26,-22.81,-16.84,-17.28,-21.22,-10.65,-21.29,-17.44,-422.62
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
