Parameter/Date,30 November 2025,29 November 2025,28 November 2025,27 November 2025,26 November 2025,25 November 2025,24 November 2025,23 November 2025,22 November 2025,21 November 2025,20 November 2025,19 November 2025,18 November 2025,17 November 2025,16 November 2025,15 November 2025,14 November 2025,13 November 2025,12 November 2025,11 November 2025,10 November 2025,9 November 2025,8 November 2025,7 November 2025,6 November 2025,5 November 2025,4 November 2025,3 November 2025,2 November 2025,1 November 2025,Total
Sales,194.87,239.84,239.84,89.94,134.91,209.86,239.84,134.91,134.91,119.92,149.9,149.9,164.89,179.88,194.87,119.92,89.94,89.94,89.94,134.91,149.9,179.88,149.9,104.93,149.9,89.94,149.9,119.92,164.89,194.87,4556.96
    Organic,194.87,239.84,239.84,89.94,134.91,209.86,239.84,134.91,134.91,119.92,149.9,149.9,164.89,179.88,194.87,119.92,89.94,89.94,89.94,134.91,149.9,179.88,149.9,104.93,149.9,89.94,149.9,119.92,164.89,194.87,4556.96
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,194.87,239.84,239.84,89.94,134.91,209.86,239.84,134.91,134.91,119.92,149.9,149.9,164.89,179.88,194.87,119.92,89.94,89.94,89.94,134.91,149.9,179.88,149.9,104.93,149.9,89.94,149.9,119.92,164.89,194.87,4556.96
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,13,16,16,6,9,14,16,9,9,8,10,10,11,12,13,8,6,6,6,9,10,12,10,7,10,6,11,8,11,13,305
    Organic,13,16,16,6,9,14,16,9,9,8,10,10,11,12,13,8,6,6,6,9,10,12,10,7,10,6,11,8,11,13,305
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,13,16,16,6,9,14,16,9,9,8,10,10,11,12,13,8,6,6,6,9,10,12,10,7,10,6,11,8,11,13,305
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
