Parameter/Date,31 May 2024,30 May 2024,29 May 2024,28 May 2024,27 May 2024,26 May 2024,25 May 2024,24 May 2024,23 May 2024,22 May 2024,21 May 2024,20 May 2024,19 May 2024,18 May 2024,17 May 2024,16 May 2024,15 May 2024,14 May 2024,13 May 2024,12 May 2024,11 May 2024,10 May 2024,9 May 2024,8 May 2024,7 May 2024,6 May 2024,5 May 2024,4 May 2024,3 May 2024,2 May 2024,1 May 2024,Total
Sales,118.93,118.93,203.88,169.9,305.82,203.88,390.77,220.87,118.93,67.96,186.89,152.91,84.95,152.91,84.95,50.97,84.95,152.91,152.91,135.92,84.95,50.97,135.92,186.89,152.91,135.92,203.88,152.91,135.92,169.9,118.93,4689.24
    Organic,118.93,101.94,135.92,135.92,237.86,152.91,305.82,169.9,118.93,67.96,152.91,84.95,67.96,50.97,67.96,50.97,67.96,135.92,118.93,118.93,67.96,33.98,50.97,67.96,67.96,101.94,135.92,84.95,67.96,101.94,33.98,3279.07
    Sponsored Products (same day),0,16.99,67.96,33.98,67.96,50.97,84.95,50.97,0,0,33.98,67.96,16.99,101.94,16.99,0,16.99,16.99,33.98,16.99,16.99,16.99,84.95,118.93,84.95,33.98,67.96,67.96,67.96,67.96,84.95,1410.17
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,118.93,118.93,203.88,169.9,305.82,203.88,390.77,220.87,118.93,67.96,186.89,152.91,84.95,152.91,84.95,50.97,84.95,152.91,152.91,135.92,84.95,50.97,135.92,186.89,152.91,135.92,203.88,152.91,135.92,169.9,118.93,4689.24
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,7,7,12,10,18,12,23,13,7,4,11,9,5,9,5,3,5,9,9,8,5,3,8,11,9,8,12,9,8,10,7,276
    Organic,7,6,8,8,14,9,18,10,7,4,9,5,4,3,4,3,4,8,7,7,4,2,3,4,4,6,8,5,4,6,2,193
    Sponsored Products (same day),0,1,4,2,4,3,5,3,0,0,2,4,1,6,1,0,1,1,2,1,1,1,5,7,5,2,4,4,4,4,5,83
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,7,7,12,10,18,12,23,13,7,4,11,9,5,9,5,3,5,9,9,8,5,3,8,11,9,8,12,9,8,10,7,276
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-41.58,-47.75,-51.46,-37.05,-72.92,-47.98,-70.27,-50.8,-32.51,-37.87,-44.07,-26.46,-18.29,-23.21,-9.03,-8.54,-11.6,-14.65,-9.83,-11.74,-12.1,-8.08,-21.68,-28.49,-39.32,-29.78,-32.67,-25.84,-28.54,-26.15,-26.69,-946.95
    Sponsored Products,-32.96,-33.4,-20.6,-26.02,-42.64,-23.6,-39.19,-25.45,-22.62,-27.17,-23.53,-16.08,-18.29,-22.08,-6.2,-7.91,-11.6,-14.65,-9.83,-11.74,-12.1,-8.08,-21.68,-28.49,-39.32,-29.78,-32.67,-25.84,-28.54,-26.15,-26.69,-714.9
    Sponsored Brands,-8.62,-14.35,-30.86,-11.03,-30.28,-24.38,-31.08,-25.35,-9.89,-10.7,-20.54,-10.38,0,-1.13,-2.83,-0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-232.05
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
