Parameter/Date,31 October 2024,30 October 2024,29 October 2024,28 October 2024,27 October 2024,26 October 2024,25 October 2024,24 October 2024,23 October 2024,22 October 2024,21 October 2024,20 October 2024,19 October 2024,18 October 2024,17 October 2024,16 October 2024,15 October 2024,14 October 2024,13 October 2024,12 October 2024,11 October 2024,10 October 2024,9 October 2024,8 October 2024,7 October 2024,6 October 2024,5 October 2024,4 October 2024,3 October 2024,2 October 2024,1 October 2024,Total
Sales,101.94,84.95,50.97,67.96,169.9,84.95,67.96,67.96,101.94,67.96,84.95,50.97,67.96,118.93,84.95,33.98,84.95,101.94,84.95,67.96,67.96,67.96,186.89,169.9,84.95,67.96,118.93,16.99,67.96,101.94,33.98,2633.45
    Organic,101.94,84.95,50.97,67.96,169.9,84.95,67.96,67.96,101.94,67.96,84.95,50.97,67.96,118.93,84.95,33.98,84.95,101.94,84.95,67.96,67.96,67.96,186.89,169.9,84.95,67.96,118.93,16.99,67.96,101.94,33.98,2633.45
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,101.94,84.95,50.97,67.96,169.9,84.95,67.96,67.96,101.94,67.96,84.95,50.97,67.96,118.93,84.95,33.98,84.95,101.94,84.95,67.96,67.96,67.96,186.89,169.9,84.95,67.96,118.93,16.99,67.96,101.94,33.98,2633.45
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,6,5,3,4,10,5,4,4,6,4,5,3,4,7,5,2,5,6,5,4,4,4,11,10,5,4,7,1,4,6,2,155
    Organic,6,5,3,4,10,5,4,4,6,4,5,3,4,7,5,2,5,6,5,4,4,4,11,10,5,4,7,1,4,6,2,155
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,6,5,3,4,10,5,4,4,6,4,5,3,4,7,5,2,5,6,5,4,4,4,11,10,5,4,7,1,4,6,2,155
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Promo,-13.6,0,0,0,-27.2,0,0,0,0,0,0,0,0,0,0,0,-10.2,0,0,0,0,0,0,-6.8,0,0,-10.2,0,0,0,0,-68
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,2.73,0,0,0,0,0,-14.95,0,0,0,0,0,0,0,0,-14.95,0,0,0,0,0,0,0,0,0,-27.17
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,5.1
    Value of returned items,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73
    Refund commission,0,0,0,0,0,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,0,0,-1.02
    Refunded amount,0,0,0,0,0,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,0,0,-33.98
Amazon fees,-39.84,-34.9,-21.98,-27.92,-65.72,-34.9,-27.92,-27.92,-31.59,-27.92,-34.9,-20.94,-27.92,-48.86,-34.9,-13.96,-33.37,-41.32,-34.34,-26.8,-26.8,-27.08,-73.7,-65.98,-74.04,-26.8,-45.38,-6.7,-26.8,-40.2,-13.4,-1084.8
    FBA per unit fulfilment fee,-26.58,-22.15,-13.29,-17.72,-44.3,-22.15,-17.72,-17.72,-26.58,-17.72,-22.15,-13.29,-17.72,-31.01,-22.15,-8.86,-22.15,-26.02,-21.59,-16.6,-16.6,-16.88,-45.65,-41.5,-20.75,-16.6,-29.05,-4.15,-16.6,-24.9,-8.3,-668.45
    Referral fee,-13.26,-12.75,-7.65,-10.2,-21.42,-12.75,-10.2,-10.2,-15.3,-10.2,-12.75,-7.65,-10.2,-17.85,-12.75,-5.1,-11.22,-15.3,-12.75,-10.2,-10.2,-10.2,-28.05,-24.48,-12.75,-10.2,-16.33,-2.55,-10.2,-15.3,-5.1,-385.06
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.54,0,0,0,0,0,0,-40.54
    FBA disposal fee,0,0,-1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04
    Free replacement refund items,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29
Cost of goods,-16.38,-13.65,-8.19,-10.92,-27.3,-13.65,-10.92,-10.92,-16.38,-10.92,-13.65,-8.19,-10.92,-19.11,-13.65,-5.46,-13.65,-16.38,-13.65,-10.92,-10.92,-10.92,-30.03,-27.3,-13.65,-10.92,-19.11,-2.73,-10.92,-16.38,-5.46,-423.15
    Cost of goods sold,-16.38,-13.65,-8.19,-10.92,-27.3,-13.65,-10.92,-10.92,-16.38,-10.92,-13.65,-8.19,-10.92,-19.11,-13.65,-5.46,-13.65,-16.38,-13.65,-10.92,-10.92,-10.92,-30.03,-27.3,-13.65,-10.92,-19.11,-2.73,-10.92,-16.38,-5.46,-423.15
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,32.12,36.4,20.8,29.12,49.68,36.4,31.85,29.12,53.97,29.12,36.4,21.84,14.17,50.96,36.4,14.56,27.73,44.24,36.96,30.24,30.24,15.01,83.16,69.82,-2.74,30.24,44.24,7.56,30.24,45.36,15.12,1030.33
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,32.12,36.4,20.8,29.12,49.68,36.4,31.85,29.12,53.97,29.12,36.4,21.84,14.17,50.96,36.4,14.56,27.73,44.24,36.96,30.24,30.24,15.01,83.16,69.82,-2.74,30.24,44.24,7.56,30.24,45.36,15.12,1030.33
Estimated payout,48.5,50.05,28.99,40.04,76.98,50.05,40.04,40.04,70.35,40.04,50.05,30.03,25.09,70.07,50.05,20.02,41.38,60.62,50.61,41.16,41.16,25.93,113.19,97.12,10.91,41.16,63.35,10.29,41.16,61.74,20.58,1450.75
