Parameter/Date,30 September 2022,29 September 2022,28 September 2022,27 September 2022,26 September 2022,25 September 2022,24 September 2022,23 September 2022,22 September 2022,21 September 2022,20 September 2022,19 September 2022,18 September 2022,17 September 2022,16 September 2022,15 September 2022,14 September 2022,13 September 2022,12 September 2022,11 September 2022,10 September 2022,9 September 2022,8 September 2022,7 September 2022,6 September 2022,5 September 2022,4 September 2022,3 September 2022,2 September 2022,1 September 2022,Total
Sales,94.95,75.96,56.97,94.95,151.92,132.93,18.99,37.98,37.98,113.94,94.95,56.97,0,18.99,75.96,75.96,75.96,37.98,75.96,56.97,37.98,18.99,37.98,75.96,56.97,56.97,94.95,75.96,56.97,37.98,1936.98
    Organic,94.95,75.96,56.97,94.95,151.92,132.93,18.99,37.98,37.98,113.94,94.95,56.97,0,18.99,75.96,75.96,75.96,37.98,75.96,56.97,37.98,18.99,37.98,75.96,56.97,56.97,94.95,75.96,56.97,37.98,1936.98
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,94.95,75.96,56.97,94.95,151.92,132.93,18.99,37.98,37.98,113.94,94.95,56.97,0,18.99,75.96,75.96,75.96,37.98,75.96,56.97,37.98,18.99,37.98,75.96,56.97,56.97,94.95,75.96,56.97,37.98,1936.98
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,5,4,3,5,8,7,1,2,2,6,5,3,0,1,4,4,4,2,4,3,2,1,2,4,3,3,5,4,3,2,102
    Organic,5,4,3,5,8,7,1,2,2,6,5,3,0,1,4,4,4,2,4,3,2,1,2,4,3,3,5,4,3,2,102
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,5,4,3,5,8,7,1,2,2,6,5,3,0,1,4,4,4,2,4,3,2,1,2,4,3,3,5,4,3,2,102
