Parameter/Date,30 November 2025,29 November 2025,28 November 2025,27 November 2025,26 November 2025,25 November 2025,24 November 2025,23 November 2025,22 November 2025,21 November 2025,20 November 2025,19 November 2025,18 November 2025,17 November 2025,16 November 2025,15 November 2025,14 November 2025,13 November 2025,12 November 2025,11 November 2025,10 November 2025,9 November 2025,8 November 2025,7 November 2025,6 November 2025,5 November 2025,4 November 2025,3 November 2025,2 November 2025,1 November 2025,Total
Sales,80.91,53.94,17.98,35.96,35.96,80.91,89.9,125.86,80.91,80.91,107.88,35.96,44.95,17.98,98.89,80.91,26.97,44.95,35.96,8.99,44.95,71.92,35.96,26.97,44.95,44.95,80.91,17.98,89.9,62.93,1708.1
    Organic,62.93,44.95,17.98,35.96,35.96,80.91,89.9,107.88,80.91,80.91,107.88,35.96,44.95,17.98,98.89,80.91,26.97,44.95,35.96,8.99,35.96,71.92,35.96,26.97,35.96,44.95,80.91,17.98,89.9,62.93,1645.17
    Sponsored Products (same day),17.98,8.99,0,0,0,0,0,17.98,0,0,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,8.99,0,0,0,0,0,62.93
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,80.91,53.94,17.98,35.96,35.96,80.91,89.9,125.86,80.91,80.91,107.88,35.96,44.95,17.98,98.89,80.91,26.97,44.95,35.96,8.99,44.95,71.92,35.96,26.97,44.95,44.95,80.91,17.98,89.9,62.93,1708.1
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,9,6,2,4,4,9,10,14,9,9,12,4,5,2,11,9,3,5,4,1,5,8,4,3,5,5,9,2,10,7,190
    Organic,7,5,2,4,4,9,10,12,9,9,12,4,5,2,11,9,3,5,4,1,4,8,4,3,4,5,9,2,10,7,183
    Sponsored Products (same day),2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,9,6,2,4,4,9,10,14,9,9,12,4,5,2,11,9,3,5,4,1,5,8,4,3,5,5,9,2,10,7,190
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-11.63,-4.27,-9.37,-3.06,-2.49,0,-0.81,-5.49,0,0,-1.05,0,0,0,-0.54,0,0,-0.52,-2.02,-1.04,-0.55,-0.55,-0.55,0,-0.58,0,-1.2,-1.2,-0.6,-1.5,-49.02
    Sponsored Products,-11.63,-4.27,-9.37,-3.06,-2.49,0,-0.81,-5.49,0,0,-1.05,0,0,0,-0.54,0,0,-0.52,-2.02,-1.04,-0.55,-0.55,-0.55,0,-0.58,0,-1.2,-1.2,-0.6,-1.5,-49.02
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-7.91,0,0,0,0,0,0,0,-7.91,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,-7.91,-7.91,0,0,1.44,0,0,-28.76
    Refunded referral fee,1.35,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,1.35,0,0,0,0,0,5.4
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,2.88
    Refund commission,-0.27,0,0,0,0,0,0,0,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27,-0.27,0,0,0,0,0,-1.08
    Refunded amount,-8.99,0,0,0,0,0,0,0,-8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.99,-8.99,0,0,0,0,0,-35.96
Amazon fees,-40.5,-27,-6.7,-18,-18,-40.5,-45,-63,-36.01,-40.5,-54,-18,-22.5,-9,-49.5,-40.5,-13.5,-22.5,-18,-4.5,-22.5,-36,-18,-22.14,-22.5,-22.5,-40.5,-9,-45,-31.5,-856.85
    FBA per unit fulfilment fee,-28.35,-18.9,-6.3,-12.6,-12.6,-28.35,-31.5,-44.1,-28.35,-28.35,-37.8,-12.6,-15.75,-6.3,-34.65,-28.35,-9.45,-15.75,-12.6,-3.15,-15.75,-25.2,-12.6,-9.45,-15.75,-15.75,-28.35,-6.3,-31.5,-22.05,-598.5
