Parameter/Date,31 January 2026,30 January 2026,29 January 2026,28 January 2026,27 January 2026,26 January 2026,25 January 2026,24 January 2026,23 January 2026,22 January 2026,21 January 2026,20 January 2026,19 January 2026,18 January 2026,17 January 2026,16 January 2026,15 January 2026,14 January 2026,13 January 2026,12 January 2026,11 January 2026,10 January 2026,9 January 2026,8 January 2026,7 January 2026,6 January 2026,5 January 2026,4 January 2026,3 January 2026,2 January 2026,1 January 2026,Total
Sales,71.92,80.91,44.95,26.97,116.87,98.44,89.9,116.87,53.94,152.83,44.95,179.35,143.84,143.84,206.77,80.91,71.92,44.95,80.91,107.88,134.85,107.88,130.05,125.86,107.88,98.89,107.88,170.81,44.95,116.87,53.94,3158.78
    Organic,44.95,62.93,26.97,26.97,98.89,89.45,71.92,107.88,26.97,143.84,35.96,170.36,116.87,125.86,179.8,71.92,53.94,26.97,53.94,98.89,125.86,98.89,121.06,116.87,80.91,80.91,80.91,143.84,35.96,116.87,53.94,2691.3
    Sponsored Products (same day),26.97,17.98,17.98,0,17.98,8.99,17.98,8.99,26.97,8.99,8.99,8.99,26.97,17.98,26.97,8.99,17.98,17.98,26.97,8.99,8.99,8.99,8.99,8.99,26.97,17.98,26.97,26.97,8.99,0,0,467.48
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,71.92,80.91,44.95,26.97,116.87,98.44,89.9,116.87,53.94,152.83,44.95,179.35,143.84,143.84,206.77,80.91,71.92,44.95,80.91,107.88,134.85,107.88,130.05,125.86,107.88,98.89,107.88,170.81,44.95,116.87,53.94,3158.78
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,8,9,5,3,13,11,10,13,6,17,5,20,16,16,23,9,8,5,9,12,15,13,15,14,12,11,12,19,5,13,6,353
    Organic,5,7,3,3,11,10,8,12,3,16,4,19,13,14,20,8,6,3,6,11,14,12,14,13,9,9,9,16,4,13,6,301
    Sponsored Products (same day),3,2,2,0,2,1,2,1,3,1,1,1,3,2,3,1,2,2,3,1,1,1,1,1,3,2,3,3,1,0,0,52
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,8,9,5,3,13,11,10,13,6,17,5,20,16,16,23,9,8,5,9,12,15,13,15,14,12,11,12,19,5,13,6,353
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7
Promo,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,-0.9,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7
Advertising cost,-12.75,-11.39,-18.78,-4.52,-11.31,-11.05,-12.06,-10.62,-13.39,-12.4,-12.69,-10.78,-11.94,-12.98,-15.32,-9.78,-13.44,-11.38,-15.79,-9.24,-8.37,-11.03,-12.87,-10.07,-12.05,-11.2,-13.1,-12.09,-11.27,-12.44,-13.4,-369.5
    Sponsored Products,-12.75,-11.39,-18.78,-4.52,-11.31,-11.05,-12.06,-10.62,-13.39,-12.4,-12.69,-10.78,-11.94,-12.98,-15.32,-9.78,-13.44,-11.38,-15.79,-9.24,-8.37,-11.03,-12.87,-10.07,-12.05,-11.2,-13.1,-12.09,-11.27,-12.44,-13.4,-369.5
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-7.91,1.44,-7.91,1.44,0,0,0,0,0,-7.91,0,0,0,-7.91,0,1.44,1.44,0,0,0,0,-7.91,-6.47,0,0,0,0,0,-7.91,-48.17
    Refunded referral fee,0,0,1.35,0,1.35,0,0,0,0,0,0,1.35,0,0,0,1.35,0,0,0,0,0,0,0,1.35,1.35,0,0,0,0,0,1.35,9.45
