Parameter/Date,30 April 2025,29 April 2025,28 April 2025,27 April 2025,26 April 2025,25 April 2025,24 April 2025,23 April 2025,22 April 2025,21 April 2025,20 April 2025,19 April 2025,18 April 2025,17 April 2025,16 April 2025,15 April 2025,14 April 2025,13 April 2025,12 April 2025,11 April 2025,10 April 2025,9 April 2025,8 April 2025,7 April 2025,6 April 2025,5 April 2025,4 April 2025,3 April 2025,2 April 2025,1 April 2025,Total
Sales,39.96,0,49.95,59.94,39.96,39.96,59.94,9.99,29.97,49.95,29.97,49.95,29.97,19.98,19.98,9.99,49.95,49.95,19.98,79.92,29.97,9.99,9.99,29.97,0,0,0,0,0,0,819.18
    Organic,29.97,0,39.96,49.95,29.97,39.96,49.95,9.99,19.98,29.97,29.97,49.95,29.97,19.98,19.98,9.99,49.95,49.95,19.98,79.92,29.97,9.99,9.99,29.97,0,0,0,0,0,0,739.26
    Sponsored Products (same day),9.99,0,9.99,9.99,9.99,0,9.99,0,9.99,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.92
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,39.96,0,49.95,59.94,39.96,39.96,59.94,9.99,29.97,49.95,29.97,49.95,29.97,19.98,19.98,9.99,49.95,49.95,19.98,79.92,29.97,9.99,9.99,29.97,0,0,0,0,0,0,819.18
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,4,0,5,6,4,4,6,1,3,5,3,5,3,2,2,1,5,5,2,8,3,1,1,3,0,0,0,0,0,0,82
    Organic,3,0,4,5,3,4,5,1,2,3,3,5,3,2,2,1,5,5,2,8,3,1,1,3,0,0,0,0,0,0,74
    Sponsored Products (same day),1,0,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,4,0,5,6,4,4,6,1,3,5,3,5,3,2,2,1,5,5,2,8,3,1,1,3,0,0,0,0,0,0,82
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-7.19,-1.96,-3,-18.34,-15.6,-10.19,-4.6,-5,-6,-11.92,-6.2,-12.2,-2,0,0,0,0,0,-0.71,0,0,-1.54,-0.77,0,0,0,0,0,0,0,-107.22
    Sponsored Products,-7.19,-1.96,-3,-18.34,-15.6,-10.19,-4.6,-5,-6,-11.92,-6.2,-12.2,-2,0,0,0,0,0,-0.71,0,0,-1.54,-0.77,0,0,0,0,0,0,0,-107.22
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
