Parameter/Date,31 July 2025,30 July 2025,29 July 2025,28 July 2025,27 July 2025,26 July 2025,25 July 2025,24 July 2025,23 July 2025,22 July 2025,21 July 2025,20 July 2025,19 July 2025,18 July 2025,17 July 2025,16 July 2025,15 July 2025,14 July 2025,13 July 2025,12 July 2025,11 July 2025,10 July 2025,9 July 2025,8 July 2025,7 July 2025,6 July 2025,5 July 2025,4 July 2025,3 July 2025,2 July 2025,1 July 2025,Total
Sales,116.87,71.92,35.96,116.87,35.96,62.93,71.92,71.92,35.96,62.93,62.93,53.94,98.89,62.93,35.96,71.92,17.98,62.93,62.93,62.93,152.83,98.89,116.87,233.74,17.98,125.86,62.93,71.92,17.98,71.92,80.91,2328.41
    Organic,80.91,62.93,35.96,89.9,26.97,44.95,62.93,71.92,35.96,62.93,53.94,44.95,80.91,62.93,26.97,62.93,8.99,53.94,53.94,62.93,152.83,89.9,116.87,215.76,8.99,80.91,62.93,71.92,8.99,53.94,71.92,2022.75
    Sponsored Products (same day),35.96,8.99,0,26.97,8.99,17.98,8.99,0,0,0,8.99,8.99,17.98,0,8.99,8.99,8.99,8.99,8.99,0,0,8.99,0,17.98,8.99,44.95,0,0,8.99,17.98,8.99,305.66
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,116.87,71.92,35.96,116.87,35.96,62.93,71.92,71.92,35.96,62.93,62.93,53.94,98.89,62.93,35.96,71.92,17.98,62.93,62.93,62.93,152.83,98.89,116.87,233.74,17.98,125.86,62.93,71.92,17.98,71.92,80.91,2328.41
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,13,8,4,13,4,7,8,8,4,7,7,6,11,7,4,8,2,7,7,7,17,11,13,26,2,14,7,8,2,8,9,259
    Organic,9,7,4,10,3,5,7,8,4,7,6,5,9,7,3,7,1,6,6,7,17,10,13,24,1,9,7,8,1,6,8,225
    Sponsored Products (same day),4,1,0,3,1,2,1,0,0,0,1,1,2,0,1,1,1,1,1,0,0,1,0,2,1,5,0,0,1,2,1,34
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,13,8,4,13,4,7,8,8,4,7,7,6,11,7,4,8,2,7,7,7,17,11,13,26,2,14,7,8,2,8,9,259
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-6.71,-11.44,-6.46,-8.99,-10.18,-11.2,-9.77,-6.63,-11.21,-13,-8.64,-11.21,-9.18,-1.67,-8.1,-13.61,-4.89,-6.16,-6.71,-4.5,-7.2,-14.06,-24.46,-13.01,-8.64,-13.71,-10.14,-3.6,-2.57,-18.72,-5.92,-292.29
    Sponsored Products,-6.71,-11.44,-6.46,-8.99,-10.18,-11.2,-9.77,-6.63,-11.21,-13,-8.64,-11.21,-9.18,-1.67,-8.1,-13.61,-4.89,-6.16,-6.71,-4.5,-7.2,-14.06,-24.46,-13.01,-8.64,-13.71,-10.14,-3.6,-2.57,-18.72,-5.92,-292.29
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.91,0,0,0,0,0,0,0,0,0,-7.91
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,1.35
    Refund commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27,0,0,0,0,0,0,0,0,0,-0.27
    Refunded amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.99,0,0,0,0,0,0,0,0,0,-8.99
Amazon fees,-55.38,-31.18,-17.04,-55.38,-17.04,-29.82,-34.08,-34.08,-17.04,-24.02,-29.82,-25.56,-46.86,-29.82,-11.24,-34.08,-8.52,-29.82,-29.82,-29.82,-72.42,-46.86,-55.38,-107.86,-8.52,-63.45,-26.92,-34.08,-8.52,-34.08,-38.34,-1086.85
    FBA per unit fulfilment fee,-37.83,-23.28,-11.64,-37.83,-11.64,-20.37,-23.28,-23.28,-11.64,-20.37,-20.37,-17.46,-32.01,-20.37,-11.64,-23.28,-5.82,-20.37,-20.37,-20.37,-49.47,-32.01,-37.83,-75.66,-5.82,-40.74,-20.37,-23.28,-5.82,-23.28,-26.19,-753.69
    Referral fee,-17.55,-10.8,-5.4,-17.55,-5.4,-9.45,-10.8,-10.8,-5.4,-9.45,-9.45,-8.1,-14.85,-9.45,-5.4,-10.8,-2.7,-9.45,-9.45,-9.45,-22.95,-14.85,-17.55,-35.1,-2.7,-18.9,-9.45,-10.8,-2.7,-10.8,-12.15,-349.65
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.71,0,0,0,0,0,-6.71
    Warehouse lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,2.9,0,0,0,0,5.8
    Warehouse damage,0,2.9,0,0,0,0,0,0,0,5.8,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,17.4
Cost of goods,-18.72,-12.96,-5.76,-18.72,-5.76,-10.08,-11.52,-11.52,-5.76,-12.96,-10.08,-8.64,-15.84,-10.08,-8.64,-11.52,-2.88,-10.08,-10.08,-10.08,-24.48,-15.84,-18.72,-38.88,-2.88,-21.6,-11.52,-11.52,-2.88,-11.52,-12.96,-384.48
    Cost of goods sold,-18.72,-11.52,-5.76,-18.72,-5.76,-10.08,-11.52,-11.52,-5.76,-10.08,-10.08,-8.64,-15.84,-10.08,-5.76,-11.52,-2.88,-10.08,-10.08,-10.08,-24.48,-15.84,-18.72,-37.44,-2.88,-20.16,-10.08,-11.52,-2.88,-11.52,-12.96,-372.96
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,-1.44,0,0,0,0,0,0,0,-2.88,0,0,0,0,-2.88,0,0,0,0,0,0,0,0,-1.44,0,-1.44,-1.44,0,0,0,0,-11.52
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,36.06,16.34,6.7,33.78,2.98,11.83,16.55,19.69,1.95,12.95,14.39,8.53,27.01,21.36,7.98,12.71,1.69,16.87,16.32,18.53,48.73,14.22,18.31,73.99,-2.06,27.1,14.35,22.72,4.01,7.6,23.69,556.88
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,36.06,16.34,6.7,33.78,2.98,11.83,16.55,19.69,1.95,12.95,14.39,8.53,27.01,21.36,7.98,12.71,1.69,16.87,16.32,18.53,48.73,14.22,18.31,73.99,-2.06,27.1,14.35,22.72,4.01,7.6,23.69,556.88
Estimated payout,54.78,29.3,12.46,52.5,8.74,21.91,28.07,31.21,7.71,25.91,24.47,17.17,42.85,31.44,16.62,24.23,4.57,26.95,26.4,28.61,73.21,30.06,37.03,112.87,0.82,48.7,25.87,34.24,6.89,19.12,36.65,941.36
